,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
83,Sam Smith\smithsa01,4,1968,1971,255,6303,803,2004,5,25,486,740,509,1776,274,,,306,558,2097,0.401,0.2,0.657,24.7,8.2,7,1.1,Jan 27 1944,Hazard
84,Ray Spalding\spaldra01,1,2019,2019,14,148,25,47,0,3,4,12,15,48,5,9,8,9,23,54,0.532,0,0.333,10.6,3.9,3.4,0.4,Mar 11 1997,Louisville
85,Odie Spears\spearod01,8,1949,1957,479,8104,1488,4066,,,1185,1554,,1409,917,,,,1580,4161,0.366,,0.763,22.9,8.7,4,1.9,Jun 17 1924,Scottsville
86,Felton Spencer\spencfe01,12,1991,2002,640,12298,1194,2466,0,1,966,1469,1313,3436,213,248,534,667,2116,3354,0.484,0,0.658,19.2,5.2,5.4,0.3,Jan 15 1968,Louisville
87,George Stone\stonege01,4,1969,1972,259,6953,1370,3089,144,446,646,827,427,1480,333,,,373,747,3530,0.444,0.323,0.781,26.8,13.6,5.7,1.3,Feb 9 1946,Murray
88,Dan Swartz\swartda01,1,1963,1963,39,335,57,150,,,61,72,,88,21,,,,92,175,0.38,,0.847,8.6,4.5,2.3,0.5,Dec 23 1934,Owingsville
89,Vince Taylor\taylovi01,1,1983,1983,31,321,37,102,0,0,21,32,19,36,41,20,2,30,54,95,0.363,,0.656,10.4,3.1,1.2,1.3,Sep 11 1960,Lexington
90,Tom Thacker\thackto01,7,1964,1971,314,3641,423,1174,10,44,164,323,129,822,466,,,149,611,1020,0.36,0.227,0.508,11.6,3.2,2.6,1.5,Nov 2 1939,Covington
91,Ronald Thomas\thomaro01,4,1973,1976,264,3292,439,938,3,14,170,317,437,1075,198,160,39,234,530,1051,0.468,0.214,0.536,12.5,4,4.1,0.8,Nov 19 1950,Louisville
92,Dallas Thornton\thornda01,2,1969,1970,50,870,123,284,2,11,93,142,43,141,74,,,98,106,341,0.433,0.182,0.655,17.4,6.8,2.8,1.5,Sep 1 1946,Louisville
93,Dan Tieman\tiemada01,1,1963,1963,29,176,15,57,,,4,10,,22,27,,,,18,34,0.263,,0.4,6.1,1.2,0.8,0.9,Nov 30 1940,Covington
94,Jack Tingle\tinglja01,2,1948,1949,39,,37,143,,,17,33,,,8,,,,47,91,0.259,,0.515,,2.3,,0.2,Dec 30 1924,Bedford
95,George Tinsley\tinslge01,2,1970,1972,133,1864,245,581,6,30,208,280,177,385,114,,,124,271,704,0.422,0.2,0.743,14,5.3,2.9,0.9,Sep 19 1946,Louisville
