,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
61,Josh Selby\selbyjo01,2,2012,2013,38,296,31,94,3,21,18,25,2,20,34,9,0,36,24,83,0.33,0.143,0.72,7.8,2.2,0.5,0.9,Mar 27 1991,Baltimore
62,Gene Shue\shuege01,10,1955,1964,699,23338,3715,9378,,,2638,3273,,2855,2608,,,,1405,10068,0.396,,0.806,33.4,14.4,4.1,3.7,Dec 18 1931,Baltimore
63,Dickey Simpkins\simpkdi01,7,1995,2002,327,5201,495,1124,2,9,396,641,423,1187,305,91,60,368,593,1388,0.44,0.222,0.618,15.9,4.2,3.6,0.9,Apr 6 1972,Fort Washington
64,Henry Sims\simshe01,4,2013,2016,135,2542,403,856,4,23,221,288,248,670,140,76,64,153,289,1031,0.471,0.174,0.767,18.8,7.6,5,1,Mar 27 1990,Baltimore
65,Tal Skinner\skinnta01,2,1975,1976,145,2798,274,632,,,112,177,224,608,152,99,24,,277,660,0.434,,0.633,19.3,4.6,4.2,1,Sep 10 1952,Berlin
66,Larry Spriggs\sprigla01,5,1982,1986,169,2202,341,659,0,6,191,254,125,384,218,80,28,209,338,873,0.517,0,0.752,13,5.2,2.3,1.3,Sep 8 1959,Cheverly
67,DaJuan Summers\summeda01,4,2010,2013,83,820,103,268,29,79,43,67,24,82,29,18,8,37,104,278,0.384,0.367,0.642,9.9,3.3,1,0.3,Jan 24 1988,Baltimore
68,Mike Sweetney\sweetmi01,4,2004,2007,233,3610,564,1164,0,2,388,563,400,1045,145,73,107,277,569,1516,0.485,0,0.689,15.5,6.5,4.5,0.6,Oct 25 1982,Oxon Hill
69,Marvin Webster\webstma01,10,1976,1987,617,13364,1630,3343,2,7,1040,1675,1482,4218,752,228,881,873,1505,4302,0.488,0.286,0.621,21.7,7,6.8,1.2,Apr 13 1952,Baltimore
70,Reggie Williams\willire01,10,1988,1997,599,16013,2992,6848,373,1253,1151,1468,785,2393,1492,802,407,1051,1920,7508,0.437,0.298,0.784,26.7,12.5,4,2.5,Mar 5 1964,Baltimore
71,Kennard Winchester\winchke01,3,1991,1993,122,1028,172,414,13,41,60,77,57,131,46,28,25,47,115,417,0.415,0.317,0.779,8.4,3.4,1.1,0.4,Sep 3 1966,Chestertown
72,David Wingate\wingada01,15,1987,2001,740,13243,1690,3798,79,290,707,958,445,1420,1376,597,122,853,1249,4166,0.445,0.272,0.738,17.9,5.6,1.9,1.9,Dec 15 1963,Baltimore
73,Perry Young\youngpe01,1,1987,1987,9,72,6,21,0,0,1,2,3,8,7,5,1,4,14,13,0.286,,0.5,8,1.4,0.9,0.8,Aug 4 1963,Baltimore
