,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
110,D.J. Kennedy\kennedj01,1,2012,2012,2,59,5,12,2,4,0,2,1,7,3,2,0,3,7,12,0.417,0.5,0,29.5,6,3.5,1.5,Nov 5 1989,Pittsburgh
111,Pickles Kennedy\kennepi01,1,1961,1961,7,52,4,21,,,4,6,,8,9,,,,6,12,0.19,,0.667,7.4,1.7,1.1,1.3,May 17 1938,Philadelphia
112,Lari Ketner\ketnela01,2,2000,2001,25,139,13,32,0,0,8,12,12,34,2,4,3,12,20,34,0.406,,0.667,5.6,1.4,1.4,0.1,Feb 1 1977,Philadelphia
113,Michael Kidd-Gilchrist\kiddgmi01,8,2013,2020,442,10928,1459,3079,28,103,796,1113,701,2408,514,296,303,397,951,3742,0.474,0.272,0.715,24.7,8.5,5.4,1.2,Sep 26 1993,Philadelphia
114,Bo Kimble\kimblbo01,3,1991,1993,105,1336,217,562,25,86,115,158,58,162,98,41,14,98,205,574,0.386,0.291,0.728,12.7,5.5,1.5,0.9,Apr 9 1966,Philadelphia
115,Herm Klotz\klotzhe01,1,1948,1948,11,,7,31,,,1,3,,,7,,,,3,15,0.226,,0.333,,1.4,,0.6,Oct 21 1921,Philadelphia
116,Billy Knight\knighbi01,11,1975,1985,821,23746,5418,10680,44,155,3021,3652,1736,4377,1862,834,143,1791,1604,13901,0.507,0.284,0.827,28.9,16.9,5.3,2.3,Jun 9 1952,Braddock
117,Rob Kurz\kurzro01,1,2009,2009,40,442,51,131,15,38,40,50,33,81,20,14,19,16,78,157,0.389,0.395,0.8,11.1,3.9,2,0.5,Mar 5 1985,Philadelphia
118,Jim Lampley\lamplji01,1,1987,1987,1,16,1,3,0,0,1,2,1,5,0,1,0,1,0,3,0.333,,0.5,16,3,5,0,Jul 2 1960,Harrisburg
119,Stu Lantz\lantzst01,8,1969,1976,547,15267,2469,5674,,,1844,2266,150,1820,1566,121,18,,1320,6782,0.435,,0.814,27.9,12.4,3.3,2.9,Jul 13 1946,Uniontown
120,Rich Laurel\laureri01,1,1978,1978,10,57,10,31,,,4,4,6,10,3,3,1,4,10,24,0.323,,1,5.7,2.4,1,0.3,Jul 11 1954,Philadelphia
121,Jason Lawson\lawsoja01,1,1998,1998,17,80,9,15,0,0,8,10,8,27,5,4,4,2,14,26,0.6,,0.8,4.7,1.5,1.6,0.3,Sep 2 1974,Philadelphia
122,Hal Lear\learha01,1,1957,1957,3,14,2,6,,,0,0,,1,1,,,,3,4,0.333,,,4.7,1.3,0.3,0.3,Jan 31 1935,Philadelphia
123,Jeff Lebo\leboje01,1,1990,1990,4,32,2,7,0,0,2,2,2,4,3,2,0,1,7,6,0.286,,1,8,1.5,1,0.8,Oct 5 1966,Carlisle
124,Ralph Lewis\lewisra01,3,1988,1990,99,672,89,215,1,4,50,89,56,118,29,25,7,45,67,229,0.414,0.25,0.562,6.8,2.3,1.2,0.3,Mar 28 1963,Philadelphia
125,Bobby Lloyd\lloydbo01,2,1968,1969,125,2353,362,890,15,39,388,445,25,220,229,,,169,290,1127,0.407,0.385,0.872,18.8,9,1.8,1.8,Jan 3 1946,Upper Darby
