,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
297,Gabe Pruitt\pruitga01,2,2008,2009,62,461,45,140,17,60,18,23,10,51,52,20,3,24,44,125,0.321,0.283,0.783,7.4,2,0.8,0.8,Apr 19 1986,Los Angeles
298,Ivan Rabb\rabbiv01,2,2018,2019,85,1237,202,364,3,15,78,105,123,364,86,29,27,70,145,485,0.555,0.2,0.743,14.6,5.7,4.3,1,Feb 4 1997,Sacramento
299,Wally Rank\rankwa01,1,1981,1981,25,153,21,57,0,0,13,28,17,30,17,7,1,26,33,55,0.368,,0.464,6.1,2.2,1.2,0.7,Mar 1 1958,Fort Ord
300,Marlon Redmond\redmoma01,2,1979,1980,77,1057,222,525,0,9,55,84,75,161,77,32,25,76,123,499,0.423,0,0.655,13.7,6.5,2.1,1,Apr 15 1955,San Francisco
301,Kevin Restani\restake01,8,1975,1982,550,10114,1522,3134,8,39,334,466,756,2206,747,221,111,330,966,3386,0.486,0.205,0.717,18.4,6.2,4,1.4,Dec 23 1951,San Francisco
302,Isaiah Rider\rideris01,9,1994,2002,563,17851,3583,8085,667,1896,1572,1935,676,2166,1535,367,136,1425,1327,9405,0.443,0.352,0.812,31.7,16.7,3.8,2.7,Mar 12 1971,Oakland
303,Ron Riley\rileyro01,4,1973,1976,264,4852,665,1586,,,212,307,276,1368,318,106,67,,655,1542,0.419,,0.691,18.4,5.8,5.2,1.2,Nov 11 1950,Los Angeles
304,Austin Rivers\riverau01,8,2013,2020,544,13325,1844,4416,599,1719,677,1058,188,1130,1250,378,100,604,1197,4964,0.418,0.348,0.64,24.5,9.1,2.1,2.3,Aug 1 1992,Santa Monica
305,Cliff Robinson\robincl01,11,1980,1992,629,19284,4493,9596,7,38,1830,2533,1363,5237,1249,655,441,1571,1870,10823,0.468,0.184,0.722,30.7,17.2,8.3,2,Mar 13 1960,Oakland
306,Jackie Robinson\robinja01,3,1979,1982,22,185,31,67,0,1,21,30,15,27,13,8,4,14,18,83,0.463,0,0.7,8.4,3.8,1.2,0.6,May 20 1955,Los Angeles
307,Samuel Robinson\robinsa01,2,1971,1972,134,2858,531,1196,4,21,157,202,201,546,160,,,118,252,1223,0.444,0.19,0.777,21.3,9.1,4.1,1.2,Jan 1 1948,Los Angeles
308,Jack Rocker\rockeja01,1,1948,1948,9,,8,22,,,1,1,,,3,,,,2,17,0.364,,1,,1.9,,0.3,Aug 12 1922,Lindsay
309,Johnny Rogers\rogerjo01,2,1987,1988,69,636,116,246,0,7,19,28,38,104,29,13,11,30,89,251,0.472,0,0.679,9.2,3.6,1.5,0.4,Dec 30 1963,Fullerton
