,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
122,Damien Wilkins\wilkida02,10,2005,2018,582,10991,1344,3157,205,627,711,908,441,1362,796,431,130,524,945,3604,0.426,0.327,0.783,18.9,6.2,2.3,1.4,Jan 11 1980,Washington
123,Buck Williams\willibu01,17,1982,1998,1307,42464,6404,11661,5,30,3971,5979,4526,13017,1646,1080,1100,2784,4267,16784,0.549,0.167,0.664,32.5,12.8,10,1.3,Mar 8 1960,Rocky Mount
124,C.J. Williams\willicj01,2,2018,2019,53,835,104,232,27,94,13,17,13,64,55,37,13,25,79,248,0.448,0.287,0.765,15.8,4.7,1.2,1,Feb 6 1990,Fayetteville
125,Kenny Williams\willike03,4,1991,1994,260,2918,547,1070,0,14,153,225,315,693,161,76,166,136,366,1247,0.511,0,0.68,11.2,4.8,2.7,0.6,Jun 9 1969,Elizabeth City
126,Zion Williamson\willizi01,1,2020,2020,19,565,172,292,6,13,98,152,55,129,41,16,9,51,32,448,0.589,0.462,0.645,29.7,23.6,6.8,2.2,Jul 6 2000,Salisbury
127,Bubba Wilson\wilsobu01,1,1980,1980,16,143,7,25,0,0,3,6,6,16,12,2,0,8,11,17,0.28,,0.5,8.9,1.1,1,0.8,Aug 7 1955,Gastonia
128,Harthorne Wingo\wingoha01,4,1973,1976,212,2814,396,863,,,231,329,281,745,128,74,57,,368,1023,0.459,,0.702,13.3,4.8,3.5,0.6,Sep 9 1947,Tryon
129,Greg Wittman\wittmgr01,2,1970,1971,60,523,86,229,4,18,36,68,39,117,15,,,44,108,212,0.376,0.222,0.529,8.7,3.5,2,0.3,May 10 1947,Rockingham
130,Haywoode Workman\workmha01,8,1990,2000,359,7202,748,1786,119,368,352,461,150,819,1410,354,21,538,684,1967,0.419,0.323,0.764,20.1,5.5,2.3,3.9,Jan 23 1966,Charlotte
131,James Worthy*\worthja01,12,1983,1994,926,30001,6878,13204,117,486,2447,3184,1561,4708,2791,1041,624,1859,1975,16320,0.521,0.241,0.769,32.4,17.6,5.1,3,Feb 27 1961,Gastonia
