,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
13,Jim Bradley\bradlji01,3,1974,1976,98,1913,289,674,0,6,109,150,172,528,128,69,62,133,244,687,0.429,0,0.727,19.5,7,5.4,1.3,Mar 16 1952,East Chicago
14,Junior Bridgeman\bridgju01,12,1976,1987,849,21257,4801,10099,40,164,1875,2216,910,2995,2066,685,220,1169,1969,11517,0.475,0.244,0.846,25,13.6,3.5,2.4,Sep 17 1953,East Chicago
15,Roger Burkman\burkmro01,1,1982,1982,6,30,0,4,0,1,5,6,2,6,5,6,2,3,6,5,0,0,0.833,5,0.8,1,0.8,May 22 1958,Indianapolis
16,Don Buse\busedo01,13,1973,1985,966,26180,2778,6313,320,969,1014,1302,728,2565,4425,1818,163,996,1562,6890,0.44,0.33,0.779,27.1,7.1,2.7,4.6,Aug 10 1950,Huntingburg
17,Calbert Cheaney\cheanca01,13,1994,2006,825,22007,3366,7227,204,684,890,1288,732,2610,1398,659,198,994,2074,7826,0.466,0.298,0.691,26.7,9.5,3.2,1.7,Jul 17 1971,Evansville
18,Robert Churchwell\churcro01,1,1996,1996,4,20,3,8,0,0,0,0,0,3,1,0,0,2,1,6,0.375,,,5,1.5,0.8,0.3,Feb 20 1972,South Bend
19,Louie Dampier*\dampilo01,12,1968,1979,960,32201,5982,13465,794,2217,2521,3075,514,2543,4687,407,153,1989,1852,15279,0.444,0.358,0.82,33.5,15.9,2.6,4.9,Nov 20 1944,Indianapolis
20,Jim Davis\davisji01,8,1968,1975,597,10027,1518,3291,,,961,1425,198,3109,739,89,66,,1463,3997,0.461,,0.674,16.8,6.7,5.2,1.2,Dec 18 1941,Muncie
21,Branden Dawson\dawsobr01,1,2016,2016,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,0.4,,1,4.8,0.8,0.7,0,Feb 1 1993,Gary
22,Larry Demic\demicla01,3,1980,1982,206,3192,397,865,0,3,182,314,338,805,106,72,49,252,524,976,0.459,0,0.58,15.5,4.7,3.9,0.5,Jun 27 1957,Gary
23,Clyde Dickey\dickecl01,1,1975,1975,58,472,71,203,2,15,16,21,12,61,47,14,0,45,46,160,0.35,0.133,0.762,8.1,2.8,1.1,0.8,Dec 14 1951,Fort Wayne
24,Dick Dickey\dickedi01,1,1952,1952,45,440,40,136,,,47,69,,81,50,,,,79,127,0.294,,0.681,9.8,2.8,1.8,1.1,Oct 26 1926,Grant County
25,Terry Dischinger\dischte01,9,1963,1973,652,17841,3457,6836,,,2098,2768,,3646,1151,,,,2055,9012,0.506,,0.758,27.4,13.8,5.6,1.8,Nov 21 1940,Terre Haute
26,Bob Donham\donhabo01,4,1951,1954,273,4866,662,1379,,,494,975,,1071,706,,,,850,1818,0.48,,0.507,23.7,6.7,3.9,2.6,Oct 11 1926,Hammond
27,Steve Downing\downist01,2,1974,1975,27,146,21,66,,,22,40,14,41,11,5,0,,33,64,0.318,,0.55,5.4,2.4,1.5,0.4,Sep 9 1950,Indianapolis
28,Bobby Edmonds\edmonbo01,2,1968,1970,75,1350,214,493,1,6,151,232,2,378,29,,,123,184,580,0.434,0.167,0.651,18,7.7,5,0.4,Mar 8 1941,Indianapolis
29,Jay Edwards\edwarja02,1,1990,1990,4,26,3,7,0,2,1,3,1,2,4,1,0,1,4,7,0.429,0,0.333,6.5,1.8,0.5,1,Jan 3 1969,Muncie
30,Darrell Elston\elstoda01,2,1975,1977,77,1909,252,627,3,18,94,125,49,169,204,83,9,126,172,601,0.402,0.167,0.752,24.8,7.8,2.2,2.6,Aug 15 1952,Tipton
31,Bob Evans\evansbo01,1,1950,1950,47,,56,200,,,30,44,,,55,,,,99,142,0.28,,0.682,,3,,1.2,May 31 1925,Indianapolis
32,Yogi Ferrell\ferreyo01,4,2017,2020,243,5030,691,1645,275,753,248,296,65,517,569,156,26,213,338,1905,0.42,0.365,0.838,20.7,7.8,2.1,2.3,May 9 1993,Indianapolis
33,Tellis Frank\frankte01,5,1988,1994,264,4703,639,1456,0,4,432,583,363,1022,276,158,95,326,795,1710,0.439,0,0.741,17.8,6.5,3.9,1,Apr 26 1965,Gary
34,Darius Garland\garlada01,1,2020,2020,59,1824,280,699,105,296,63,72,27,111,229,42,4,151,92,728,0.401,0.355,0.875,30.9,12.3,1.9,3.9,Jan 26 2000,Gary
35,Winston Garland\garlawi01,7,1988,1995,511,13391,1912,4444,73,260,902,1087,413,1433,2421,674,80,975,1251,4799,0.43,0.281,0.83,26.2,9.4,2.8,4.7,Dec 19 1964,Gary
36,Dan Godfread\godfrda01,2,1991,1992,11,22,5,12,0,1,3,4,0,2,0,1,4,0,5,13,0.417,0,0.75,2,1.2,0.2,0,Jun 14 1967,Fort Wayne
37,Eric Gordon\gordoer01,12,2009,2020,663,21755,3733,8783,1549,4186,1976,2436,274,1634,1894,598,226,1306,1312,10991,0.425,0.37,0.811,32.8,16.6,2.5,2.9,Dec 25 1988,Indianapolis
38,Greg Graham\grahagr01,5,1994,1998,207,2530,331,813,49,169,227,293,59,219,201,128,12,179,213,938,0.407,0.29,0.775,12.2,4.5,1.1,1,Nov 26 1970,Indianapolis
39,Jim Grandholm\grandji01,1,1991,1991,26,168,30,58,9,17,10,21,20,50,8,2,8,11,33,79,0.517,0.529,0.476,6.5,3,1.9,0.3,Oct 4 1960,Elkhart
40,Kyle Guy\guyky01,1,2020,2020,2,4,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0.5,0,,2,1,0,0,Aug 11 1997,Indianapolis
41,Scott Haffner\haffnsc01,2,1990,1991,50,609,96,238,3,23,18,27,9,55,89,16,3,37,57,213,0.403,0.13,0.667,12.2,4.3,1.1,1.8,Feb 2 1966,Terre Haute
42,Dale Hamilton\hamilda01,1,1950,1950,14,,8,33,,,9,19,,,17,,,,30,25,0.242,,0.474,,1.8,,1.2,Aug 16 1919,Fort Wayne
