,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
122,Alfredrick Hughes\hugheri01,1,1986,1986,68,866,152,372,3,17,49,84,49,113,61,26,5,63,79,356,0.409,0.176,0.583,12.7,5.2,1.7,0.9,Jul 19 1962,Chicago
123,Kim Hughes\hugheki01,6,1976,1981,425,7881,735,1534,0,0,154,388,910,2367,374,419,502,331,1268,1624,0.479,,0.397,18.5,3.8,5.6,0.9,Jun 4 1952,Freeport
124,Steven Hunter\huntest01,8,2002,2010,400,5993,735,1313,0,1,347,715,482,1264,79,49,422,249,656,1817,0.56,0,0.485,15,4.5,3.2,0.2,Oct 31 1981,Chicago
125,Andre Iguodala\iguodan01,16,2005,2020,1122,37293,4867,10449,998,2990,2785,3926,1049,5684,4849,1671,568,2127,2038,13517,0.466,0.334,0.709,33.2,12,5.1,4.3,Jan 28 1984,Springfield
126,Byron Irvin\irvinby01,3,1990,1993,87,849,165,350,7,20,114,158,56,123,73,44,3,59,77,451,0.471,0.35,0.722,9.8,5.2,1.4,0.8,Dec 2 1966,LaGrange
127,Dan Issel*\isselda01,15,1971,1985,1218,41784,10431,20904,29,142,6591,8315,3696,11133,2907,943,532,2490,3504,27482,0.499,0.204,0.793,34.3,22.6,9.1,2.4,Oct 25 1948,Batavia
128,Fred Jacobs\jacobfr01,1,1947,1947,18,,19,69,,,12,25,,,5,,,,25,50,0.275,,0.48,,2.8,,0.3,Dec 2 1922,Joliet
129,Othyus Jeffers\jeffeot01,3,2010,2014,37,442,46,100,1,6,46,69,34,95,22,21,0,21,45,139,0.46,0.167,0.667,11.9,3.8,2.6,0.6,Aug 5 1985,Chicago
130,Armon Johnson\johnsar02,2,2011,2012,47,401,66,144,6,15,19,28,12,49,56,10,1,44,40,157,0.458,0.4,0.679,8.5,3.3,1,1.2,Feb 23 1989,Chicago
131,Eddie Johnson\johnsed03,17,1982,1999,1199,32604,7727,16361,562,1679,3186,3792,1786,4832,2550,739,180,2076,2962,19202,0.472,0.335,0.84,27.2,16,4,2.1,May 1 1959,Chicago
132,Linton Johnson\johnsli01,6,2004,2009,151,2111,239,574,32,105,72,103,159,493,65,84,63,100,271,582,0.416,0.305,0.699,14,3.9,3.3,0.4,Jun 13 1980,Chicago
133,Mickey Johnson\johnsmi01,12,1975,1986,904,25005,4733,10544,29,176,3253,4066,2201,6465,2677,1025,632,2050,3101,12748,0.449,0.165,0.8,27.7,14.1,7.2,3,Aug 31 1952,Chicago
134,Reggie Jordan\jordare01,6,1994,2000,186,1662,182,420,2,6,134,229,180,343,190,92,31,104,201,500,0.433,0.333,0.585,8.9,2.7,1.8,1,Jan 26 1968,Chicago
