,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
53,Phil Hankinson\hankiph01,2,1974,1975,31,187,56,114,,,10,13,23,57,6,4,1,,21,122,0.491,,0.769,6,3.9,1.8,0.2,Jul 26 1951,Augusta
54,Charlie Hardnett\hardnch01,3,1963,1965,164,2474,433,1023,,,332,513,,930,103,,,,376,1198,0.423,,0.647,15.1,7.3,5.7,0.6,Sep 13 1938,Atlanta
55,Derek Harper\harpede01,16,1984,1999,1199,37786,6191,13384,1070,3026,2554,3426,696,2884,6577,1957,304,2334,2755,16006,0.463,0.354,0.745,31.5,13.3,2.4,5.5,Oct 13 1961,Elberton
56,Jared Harper\harpeja01,1,2020,2020,3,8,1,4,0,2,0,0,0,0,0,0,0,0,0,2,0.25,0,,2.7,0.7,0,0,Sep 14 1997,Atlanta
57,Donnell Harvey\harvedo01,5,2001,2005,205,3318,453,985,1,10,243,369,261,827,161,97,80,209,464,1150,0.46,0.1,0.659,16.2,5.6,4,0.8,Aug 26 1980,Shellman
58,Jarvis Hayes\hayesja01,7,2004,2010,427,9898,1397,3363,392,1101,367,460,244,1330,459,312,56,374,852,3553,0.415,0.356,0.798,23.2,8.3,3.1,1.1,Aug 9 1981,Atlanta
59,Gar Heard\heardga01,11,1971,1981,787,19571,2846,6877,0,9,1136,1736,1324,5876,1220,784,780,349,2134,6828,0.414,0,0.654,24.9,8.7,7.5,1.6,May 3 1948,Hogansville
60,Cedric Henderson\hendece01,1,1987,1987,8,16,4,8,0,0,3,3,3,8,0,0,0,4,2,11,0.5,,1,2,1.4,1,0,Oct 3 1965,Marietta
61,J.J. Hickson\hicksjj01,8,2009,2016,534,11925,2049,4056,0,21,983,1593,1173,3639,449,274,309,774,1033,5081,0.505,0,0.617,22.3,9.5,6.8,0.8,Sep 4 1988,Atlanta
62,Jordan Hill\hilljo01,8,2010,2017,409,7692,1357,2733,3,22,515,737,879,2389,322,150,272,426,875,3232,0.497,0.136,0.699,18.8,7.9,5.8,0.8,Jul 27 1987,Atlanta
63,Wilbur Holland\hollawi01,4,1976,1979,276,8171,1608,3558,,,544,681,276,842,922,475,44,408,747,3760,0.452,,0.799,29.6,13.6,3.1,3.3,Nov 8 1951,Columbus
64,Dwight Howard\howardw01,16,2005,2020,1106,37177,6725,11474,9,68,5123,9065,3827,13641,1577,1013,2127,3132,3575,18582,0.586,0.132,0.565,33.6,16.8,12.3,1.4,Dec 8 1985,Atlanta
