,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
146,Alvin Robertson\roberal01,10,1985,1996,779,24669,4412,9245,236,800,1822,2451,1621,4066,3929,2112,323,2116,2638,10882,0.477,0.295,0.743,31.7,14,5.2,5,Jul 22 1962,Barberton
147,Dave Robisch\robisda01,13,1972,1984,930,22780,3997,8620,0,14,2587,3241,1992,6173,1655,382,366,986,2069,10581,0.464,0,0.798,24.5,11.4,6.6,1.8,Dec 22 1949,Cincinnati
148,Al Roges\rogesal01,2,1954,1955,84,2138,243,675,,,145,203,,237,179,,,,197,631,0.36,,0.714,25.5,7.5,2.8,2.1,Oct 25 1930,
149,Scott Roth\rothsc01,3,1988,1990,160,1798,248,661,23,79,232,318,61,204,186,87,11,136,250,751,0.375,0.291,0.73,11.2,4.7,1.3,1.2,Jun 3 1963,Cleveland
150,Terry Rozier\roziete01,5,2016,2020,335,7597,1152,2924,507,1368,413,508,209,1249,890,261,62,355,442,3224,0.394,0.371,0.813,22.7,9.6,3.7,2.7,Mar 17 1994,Youngstown
151,JaKarr Sampson\sampsja02,5,2015,2020,199,3102,407,879,57,227,181,273,122,522,145,82,93,165,376,1052,0.463,0.251,0.663,15.6,5.3,2.6,0.7,Mar 20 1993,Cleveland
152,Frankie Sanders\sandefr01,2,1979,1981,69,665,139,323,0,0,74,90,41,131,69,37,7,76,89,352,0.43,,0.822,9.6,5.1,1.9,1,Jan 23 1957,Dayton
153,Fred Saunders\saundfr01,4,1975,1978,210,2899,487,1099,,,133,195,204,624,224,93,37,42,471,1107,0.443,,0.682,13.8,5.3,3,1.1,Jun 13 1951,Columbus
154,Fred Schaus\schaufr01,5,1950,1954,334,6637,1345,3826,,,1380,1677,,1609,961,,,,1130,4070,0.352,,0.823,33.5,12.2,6,2.9,Jun 30 1925,Newark
155,Dick Schnittker\schnidi01,6,1951,1958,364,6744,929,2454,,,1172,1421,,1372,479,,,,1014,3030,0.379,,0.825,20.1,8.3,3.8,1.3,May 27 1928,Kelleys Island
156,Brad Sellers\sellebr01,6,1987,1993,398,7154,1026,2268,6,30,451,569,428,1064,435,137,246,335,678,2509,0.452,0.2,0.793,18,6.3,2.7,1.1,Dec 17 1962,Warrensville Heights
157,Paul Seymour\seymopa01,12,1948,1960,622,14667,2039,5826,,,1758,2219,,1694,2341,,,,1363,5836,0.35,,0.792,30.1,9.4,3.1,3.8,Jan 30 1928,Toledo
158,Chuck Share\sharech01,9,1952,1960,596,13023,1562,3905,,,1804,2604,,4986,809,,,,2106,4928,0.4,,0.693,21.9,8.3,8.4,1.4,Mar 14 1927,Akron
159,Casey Shaw\shawca01,1,1999,1999,9,14,1,8,0,0,0,0,3,3,0,0,0,2,2,2,0.125,,,1.6,0.2,0.3,0,Jul 20 1975,Lebanon
160,Dick Shrider\shriddi01,1,1949,1949,4,,0,0,,,1,3,,,2,,,,2,1,,,0.333,,0.3,,0.5,Feb 7 1923,Glass Rock
161,Jordan Sibert\siberjo01,1,2019,2019,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,1,,4,3,0,0,Aug 1 1992,Cincinnati
162,Larry Siegfried\siegfla01,9,1964,1972,550,13632,2149,5248,,,1662,1945,,1567,1950,,,,1307,5960,0.409,,0.854,24.8,10.8,2.8,3.5,May 22 1939,Shelby
163,Clinton Smith\smithcl01,2,1987,1991,46,386,52,121,0,2,30,42,28,60,49,14,1,27,39,134,0.43,0,0.714,8.4,2.9,1.3,1.1,Jan 19 1964,Cleveland
164,Don Smith\smithdo02,1,1975,1975,54,538,131,321,,,21,21,14,30,47,20,3,,45,283,0.408,,1,10,5.2,0.6,0.9,Oct 10 1951,Dayton
