Player,2019-20
Miye Oni,898310
Mo Bamba,5697600
Monta Ellis,2245400
Monte Morris,1588231
Montrezl Harrell,6000000
Moritz Wagner,2063520
Mychal Mulder,187782
Myles Turner,18000000
Nassir Little,2105520
Naz Reid,898310
Nemanja Bjelica,6825000
Nenê Hilário,2564753
Nerlens Noel,2028594
Nickeil Alexander-Walker,2964840
Nicolas Batum,25565217
Nicolas Claxton,898310
Nicolò Melli,3902439
Nigel Williams-Goss,1500000
Nikola Jokić,26573595
Nikola Vučević,28000000
Noah Vonleh,2000000
Norman Powell,10116576
Norvel Pelle,350189
OG Anunoby,2281800
Omari Spellman,1897800
Ömer Aşık,3000000
Otto Porter,27250576
P.J. Tucker,8349039
P.J. Washington,3831840
Pascal Siakam,2351839
Pat Connaughton,1723050
Patrick Beverley,12345679
Patrick McCaw,4000000
Patrick Patterson,2331593
Patty Mills,12428571
Pau Gasol,5100000
Paul George,33005556
Paul Millsap,30500000
Paul Watson,50752
PJ Dozier,183115
Quinn Cook,3000000
Rajon Rondo,2564753
Raul Neto,1737145
Rayjon Tucker,578573
Reggie Bullock,4000000
Reggie Jackson,17286956
Richaun Holmes,4767000
Ricky Rubio,16190476
RJ Barrett,7839960
Robert Covington,11301219
Robert Williams,1937520
Robin Lopez,4767000
Rodions Kurucs,1699236
Rodney Hood,5718000
Rodney McGruder,4629630
Romeo Langford,3458400
Rondae Hollis-Jefferson,2500000
Royce O'Neale,1618520
Rudy Gay,14000000
Rudy Gobert,25008427
Rui Hachimura,4469160
Russell Westbrook,38178000
Ryan Anderson,5214583
Ryan Arcidiacono,3000000
Ryan Broekhoff,1443842
Sekou Doumbouya,3285120
Semi Ojeleye,1618520
Serge Ibaka,23271604
Seth Curry,7441860
Shabazz Napier,1882867
Shai Gilgeous-Alexander,3952920
Shake Milton,1445697
Shaquille Harrison,898310
Shaun Livingston,666667
Sheldon Mac,81678
Sir'Dominic Pointer,50752
Skal Labissière,2338847
Solomon Hill,13258781
Spencer Dinwiddie,10600000
Spencer Hawes,2007058
Stanley Johnson,3623000
Stanton Kidd,250000
Stephen Curry,40231758
Sterling Brown,1618520
Steven Adams,25842697
Sviatoslav Mykhailiuk,1416852
T.J. Leaf,2813280
T.J. McConnell,3500000
T.J. Warren,10810000
Taj Gibson,9800000
Talen Horton-Tucker,898310
Taurean Waller-Prince,3481986
Terance Mann,1000000
Terence Davis,898310
Terrance Ferguson,2475840
Terrence Ross,12500000
Terry Rozier,19894737
Thabo Sefolosha,2564753
Thaddeus Young,12900000
Thanasis Antetokounmpo,1445697
Theo Pinson,1445697
Thomas Bryant,7936508
Thon Maker,3569643
Tim Frazier,1882867
Tim Hardaway Jr.,18150000
Timofey Mozgov,5573333
Timothé Luwawu-Cabarrot,654468
Tobias Harris,31034483
Tomáš Satoranský,10000000
Tony Bradley,1962360
Tony Snell,11392857
Torrey Craig,2100000
Trae Young,6273000
Treveon Graham,1678854
Trevor Ariza,12200000
Trey Burke,2028594
Trey Lyles,5500000
Tristan Thompson,18539130
Troy Brown Jr.,3219480
Troy Daniels,2028594
Troy Williams,122741
Ty Jerome,2193480
Tyler Cook,101504
Tyler Herro,3640200
Tyler Johnson,19245370
Tyler Lydon,50000
Tyler Ulis,50000
Tyler Zeller,245686
Tyson Chandler,2564753
Tyus Jones,8408000
Udonis Haslem,2564753
Victor Oladipo,21000000
Vince Carter,2564753
Vincent Poirier,2505793
Vlatko Čančar,1517981
Wayne Ellington,7804878
Wendell Carter Jr.,5201400
Wenyen Gabriel,898310
Wesley Iwundu,1618520
Wesley Matthews,2564753
Will Barton,12960000
William Howard,50000
Willie Cauley-Stein,2177483
Willy Hernangómez,1676735
Wilson Chandler,2564753
Yante Maten,100000
Yogi Ferrell,3150000
Zach Collins,4240200
Zach LaVine,19500000
Zach Norvell,50752
Zhaire Smith,3058800
Zion Williamson,9757440
