,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
455,Khyri Thomas,23,DET,8,0,61,3,10,0.294,3,8.3,0.357,0,1.8,0,1.2,2.4,0.5,0.6,0,0.6,1.8,1.8,0,1.8,5.3,10
456,Matt Thomas,25,TOR,33,0,321,6.1,12.4,0.486,3.9,8.4,0.467,2.1,4,0.528,0.8,1.1,0.7,0.8,4.6,5.4,1.9,0.9,0,1.3,3.5,16.8
457,Tristan Thompson,28,CLE,57,51,1721,6,11.8,0.512,0.2,0.5,0.391,5.8,11.3,0.518,2.1,3.4,0.615,4.7,7.3,12.1,2.5,0.7,1,2.2,2.6,14.3
458,Matisse Thybulle,22,PHI,57,13,1110,3.1,7.6,0.41,1.6,4.6,0.352,1.5,3,0.5,0.8,1.3,0.61,1.1,1.7,2.8,2.3,2.6,1.3,1.5,3.9,8.7
459,Anthony Tolliver,34,TOT,47,9,732,2.7,7.6,0.348,1.9,6,0.322,0.7,1.7,0.441,0.9,1.2,0.72,1.5,5.1,6.5,1.6,0.7,0.5,1.5,3.1,8.1
460,Juan Toscano-Anderson,26,GSW,13,6,272,3.8,8.3,0.46,1.1,3,0.348,2.8,5.3,0.525,0.4,0.7,0.6,1.2,5.7,6.9,3.4,1.7,0.7,2.1,4,9.1
461,Karl-Anthony Towns,24,MIN,35,35,1187,9.6,18.9,0.508,3.5,8.4,0.412,6.1,10.5,0.586,5.5,6.9,0.796,2.9,8.6,11.5,4.6,1,1.3,3.3,3.5,28.1
462,Gary Trent Jr.,21,POR,53,8,1059,5.1,11.9,0.426,2.7,6.8,0.388,2.4,5.1,0.477,1,1.2,0.833,0.7,2.3,3,1.7,1.3,0.4,0.6,2.3,13.8
463,Allonzo Trier,24,NYK,24,1,291,6.3,13.1,0.481,2.4,6.6,0.358,4,6.6,0.604,4.2,5.3,0.791,0.7,2.8,3.6,3.5,0.4,0.5,2.7,3.6,19.2
464,P.J. Tucker,34,HOU,64,64,2203,2.6,6.1,0.433,1.6,4.2,0.37,1.1,1.9,0.573,0.6,0.7,0.841,1.7,5.5,7.2,1.7,1.1,0.5,1.1,3.4,7.5
465,Rayjon Tucker,22,UTA,14,0,78,3.7,8.8,0.421,0,2.8,0,3.7,6,0.615,1.4,2.3,0.6,0.9,5.1,6,0.9,0.5,0,1.4,3.2,8.8
466,Evan Turner,31,ATL,19,0,251,3.6,9.6,0.373,0,0.7,0,3.6,8.9,0.403,1.7,2,0.857,1.1,4.3,5.5,5.5,1.3,1.1,3.7,2.9,8.9
467,Myles Turner,23,IND,55,55,1628,5.2,11.4,0.451,1.7,5.1,0.336,3.4,6.4,0.542,2.4,3.2,0.75,1.5,6.4,8,1.3,0.9,2.7,1.5,3.1,14.4
468,Jarrod Uthoff,26,MEM,4,0,14,2.6,18,0.143,0,10.3,0,2.6,7.7,0.333,5.1,5.1,1,2.6,0,2.6,0,2.6,0,0,2.6,10.3
469,Jonas Valančiūnas,27,MEM,62,62,1630,8.5,14.5,0.586,0.6,1.7,0.367,7.9,12.8,0.616,2.7,3.7,0.732,4.2,11.2,15.4,2.4,0.6,1.5,2.4,3.5,20.4
470,Denzel Valentine,26,CHI,36,5,488,7.2,17.5,0.409,3.4,10.1,0.336,3.8,7.4,0.51,0.4,0.6,0.75,0.7,4.8,5.5,3.2,1.9,0.4,1.9,3.8,18.1
471,Jarred Vanderbilt,20,TOT,11,0,46,3.9,6.3,0.625,0,0.8,0,3.9,5.5,0.714,1.6,1.6,1,2.3,4.7,7,1.6,2.3,0.8,5.5,4.7,9.4
472,Fred VanVleet,25,TOR,48,48,1719,6,14.7,0.409,2.7,7.1,0.388,3.3,7.6,0.43,2.9,3.5,0.843,0.4,3.4,3.8,6.6,1.9,0.3,2.3,2.5,17.7
473,Gabe Vincent,23,MIA,6,0,42,3.4,16.3,0.211,3.4,13.7,0.25,0,2.6,0,0,0,,0,2.6,2.6,2.6,0.9,0,0,1.7,10.3
474,Noah Vonleh,24,TOT,33,1,364,4.9,8.8,0.562,0.3,1.5,0.2,4.6,7.3,0.635,2.4,3,0.8,3.7,8.5,12.2,2.7,1.1,0.6,2.1,3.8,12.6
475,Nikola Vučević,29,ORL,54,54,1763,8.7,18.6,0.47,1.7,5.1,0.329,7.1,13.5,0.523,2.3,3,0.781,2.7,9.5,12.2,4.1,0.9,1,1.6,2.5,21.5
476,Dean Wade,23,CLE,12,0,71,4.6,6.6,0.692,1,2,0.5,3.5,4.6,0.778,0,0.5,0,1.5,8.1,9.6,1,1,2,1.5,4.1,10.1
477,Moritz Wagner,22,WAS,37,5,707,6.7,11.6,0.575,1.2,3.4,0.343,5.5,8.2,0.671,3.4,4.2,0.817,2.6,7.2,9.8,2.5,1.1,0.9,2.8,6.8,17.9
478,Dion Waiters,28,MIA,3,0,42,8.6,22.3,0.385,6.9,14.6,0.471,1.7,7.7,0.222,0,0.9,0,0,9.4,9.4,2.6,0,1.7,2.6,4.3,24
479,Kemba Walker,29,BOS,50,50,1592,7.9,18.8,0.421,3.7,9.9,0.377,4.2,8.9,0.47,4.4,5.1,0.867,0.7,3.9,4.6,5.6,1.1,0.6,2.4,1.7,24
480,Lonnie Walker,21,SAS,53,4,767,5.4,12.5,0.434,1.4,3.3,0.408,4.1,9.2,0.444,1.8,2.5,0.717,0.9,4.5,5.4,2.2,1.3,0.6,1.5,3.3,14
481,Tyrone Wallace,25,ATL,14,0,160,3.2,9.9,0.318,0.2,3.4,0.067,2.9,6.5,0.448,2.5,3.8,0.647,0.7,4.3,5,2.9,1.6,0.2,2.3,4.3,9
482,Taurean Prince,25,BRK,64,61,1857,5.4,14.3,0.376,2.8,8.4,0.339,2.6,6,0.429,1.4,1.7,0.798,1,6.4,7.4,2.2,1.1,0.5,2.5,3.1,15
483,Derrick Walton,24,TOT,26,1,248,2.6,5.7,0.462,1.5,3.5,0.417,1.2,2.2,0.533,1,1.3,0.778,0.3,2,2.3,3.9,1,0,0.7,3,7.7
484,Brad Wanamaker,30,BOS,63,1,1215,4,9.4,0.428,1,2.7,0.367,3.1,6.8,0.452,3.2,3.4,0.931,0.6,3.1,3.7,4.7,1.5,0.4,2.1,3.6,12.2
485,T.J. Warren,26,IND,61,61,1984,8.3,15.8,0.529,1.3,3.3,0.375,7.1,12.4,0.571,2.7,3.4,0.812,1.1,3.3,4.4,1.6,1.3,0.5,1.4,3.1,20.7
486,P.J. Washington,21,CHO,58,57,1759,5.5,12.1,0.455,1.8,4.7,0.374,3.7,7.3,0.507,1.8,2.8,0.647,1.2,5.3,6.5,2.5,1,0.9,1.9,3.2,14.5
487,Yuta Watanabe,25,MEM,16,0,99,4.4,10.5,0.414,1.1,2.9,0.375,3.3,7.6,0.429,1.1,2.9,0.375,2.2,4,6.2,1.5,1.8,0.4,0.7,3.3,10.9
488,Tremont Waters,22,BOS,10,0,89,4.9,14.2,0.343,1.2,6.9,0.176,3.6,7.3,0.5,2.4,2.4,1,0,3.6,3.6,4.9,2,0.8,4,4.4,13.3
489,Paul Watson,25,TOT,5,0,25,0,11.5,0,0,5.8,0,0,5.8,0,1.4,2.9,0.5,0,5.8,5.8,7.2,1.4,1.4,0,1.4,1.4
490,Quinndary Weatherspoon,23,SAS,3,0,15,0,7.2,0,0,2.4,0,0,4.8,0,0,0,,0,2.4,2.4,2.4,0,0,0,0,0
491,Russell Westbrook,31,HOU,53,53,1905,10.7,22.7,0.474,1,3.8,0.254,9.8,18.9,0.518,5.1,6.5,0.777,1.8,6.3,8.1,7,1.7,0.3,4.5,3.5,27.5
492,Coby White,19,CHI,65,1,1674,6.7,17,0.394,2.9,8.1,0.354,3.8,8.9,0.43,2.2,2.8,0.791,0.6,4.3,4.9,3.8,1.1,0.1,2.3,2.5,18.5
493,Derrick White,25,SAS,61,13,1468,5.2,11.4,0.459,1.4,3.9,0.356,3.8,7.5,0.513,3.7,4.3,0.857,0.7,4,4.7,5.1,1,1.3,1.8,3.3,15.5
494,Hassan Whiteside,30,POR,61,61,1911,7.9,12.7,0.618,0.1,0.1,0.571,7.8,12.6,0.619,2.9,4.2,0.68,4.6,11.8,16.4,1.4,0.5,3.5,2.2,3.4,18.7
495,Andrew Wiggins,24,TOT,54,54,1858,8.5,18.9,0.447,2.2,6.5,0.332,6.3,12.5,0.506,3.7,5.2,0.709,1.3,4,5.3,3.8,0.9,1,2.6,2.5,22.8
496,Grant Williams,21,BOS,62,5,970,3,7.1,0.417,0.8,3.2,0.247,2.2,4,0.551,1.4,1.9,0.725,2.2,4,6.1,2.3,1,1.2,1.7,5.5,8.1
497,Johnathan Williams,24,WAS,11,5,135,4.3,6.7,0.64,0,0.5,0,4.3,6.1,0.696,0.8,1.3,0.6,4,7.5,11.5,1.6,0.3,1.6,1.1,2.9,9.3
498,Kenrich Williams,25,NOP,35,18,779,2.3,6.6,0.343,1.2,4.4,0.26,1.1,2.2,0.511,0.4,1.1,0.375,2.3,6,8.2,2.4,1.2,1,1,3.7,6.1
499,Lou Williams,33,LAC,60,8,1757,7.5,18.1,0.416,2.2,6,0.363,5.3,12,0.442,5.7,6.6,0.863,0.6,3.2,3.8,7,0.8,0.2,3.5,1.6,22.9
500,Marvin Williams,33,TOT,52,1,1011,3.9,8.9,0.442,1.9,5.1,0.361,2.1,3.7,0.552,1.7,1.9,0.87,0.7,4.6,5.3,2,1.2,0.9,1,3.3,11.4
501,Robert Williams,22,BOS,23,1,323,4.7,6.9,0.677,0,0,,4.7,6.9,0.677,1.6,2.8,0.56,3.8,8.2,12,2.5,2.2,3.1,2.2,4.5,10.9
502,Nigel Williams-Goss,25,UTA,9,0,28,1.3,9,0.143,0,2.6,0,1.3,6.4,0.2,2.6,2.6,1,2.6,3.9,6.4,6.4,1.3,1.3,2.6,2.6,5.1
503,Zion Williamson,19,NOP,19,19,565,11,18.6,0.589,0.4,0.8,0.462,10.6,17.8,0.595,6.2,9.7,0.645,3.5,4.7,8.2,2.6,1,0.6,3.2,2,28.5
504,D.J. Wilson,23,MIL,31,0,280,5.1,13,0.396,1.8,7.1,0.255,3.3,5.9,0.565,0.8,1.2,0.667,1.3,7.5,8.7,2.8,0.3,0.6,1.9,3.3,12.9
505,Justise Winslow,23,MIA,11,5,352,5.1,13.2,0.388,0.6,2.8,0.222,4.5,10.4,0.431,1.8,2.8,0.667,1.6,5.8,7.5,4.5,0.7,0.5,2.5,3.9,12.7
506,Christian Wood,24,DET,62,12,1325,7.8,13.8,0.567,1.5,3.8,0.386,6.4,10,0.636,4.9,6.6,0.744,2.8,7.8,10.6,1.6,0.9,1.5,2.3,2.7,22
507,Delon Wright,27,DAL,65,5,1412,4.6,9.7,0.47,1.1,3,0.385,3.4,6.7,0.508,1.8,2.3,0.789,1.7,4.9,6.6,5.6,1.9,0.5,1.7,2.1,12.1
508,Justin Wright-Foreman,22,UTA,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
509,Thaddeus Young,31,CHI,64,16,1591,6.1,13.6,0.448,1.8,5,0.356,4.3,8.6,0.501,1,1.6,0.583,2.1,5,7.1,2.6,2.1,0.5,2.3,3,14.9
510,Trae Young,21,ATL,60,60,2120,9.3,21.2,0.437,3.5,9.6,0.361,5.8,11.6,0.501,8.2,9.5,0.86,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2
511,Cody Zeller,27,CHO,58,39,1341,6.7,12.9,0.524,0.5,2,0.24,6.3,10.8,0.577,3.3,4.8,0.682,4.3,6.7,11,2.4,1.1,0.7,2,3.8,17.2
