Player,Date,City,State
Nerlens Noel,Apr 10 1994,Malden,Massachusetts
Nicolas Claxton,Apr 17 1999,Greenville,South Carolina
Nigel Williams-Goss,Sep 16 1994,Happy Valley,Oregon
Noah Vonleh,Aug 24 1995,Salem,Massachusetts
Norman Powell,May 25 1993,San Diego,California
Omari Spellman,Jul 21 1997,Cleveland,Ohio
Otto Porter,Jun 3 1993,St. Louis,Missouri
P.J. Washington,Aug 23 1998,Louisville,Kentucky
Pat Connaughton,Jan 6 1993,Arlington,Massachusetts
Patrick Beverley,Jul 12 1988,Chicago,Illinois
Patrick McCaw,Oct 25 1995,St. Louis,Missouri
Patrick Patterson,Mar 14 1989,Washington,District of Columbia
Paul George,May 2 1990,Palmdale,California
Paul Millsap,Feb 10 1985,Monroe,Louisiana
Paul Watson,Dec 30 1994,Phoenix,Arizona
PJ Dozier,Oct 25 1996,Columbia,South Carolina
Quinn Cook,Mar 23 1993,Washington,District of Columbia
Quinndary Weatherspoon,Sep 10 1996,Canton,Mississippi
Rajon Rondo,Feb 22 1986,Louisville,Kentucky
Reggie Bullock,Mar 16 1991,Baltimore,Maryland
Richaun Holmes,Oct 15 1993,Lockport,Illinois
Robert Covington,Dec 14 1990,Bellwood,Illinois
Robert Williams,Oct 17 1997,Shreveport,Louisiana
Robin Lopez,Apr 1 1988,North Hollywood,California
Rodney Hood,Oct 20 1992,Meridian,Mississippi
Rodney McGruder,Jul 29 1991,Landover,Maryland
Romeo Langford,Oct 25 1999,New Albany,Indiana
Rondae Hollis-Jefferson,Jan 3 1995,Chester,Pennsylvania
Royce O'Neale,Jun 5 1993,Killeen,Texas
Rudy Gay,Aug 17 1986,Baltimore,Maryland
Russell Westbrook,Nov 12 1988,Long Beach,California
Ryan Anderson,May 6 1988,Sacramento,California
Ryan Arcidiacono,Mar 26 1994,Langhorne,Pennsylvania
Semi Ojeleye,Dec 5 1994,Overland Park,Kansas
Shabazz Napier,Jul 14 1991,Roxbury,Massachusetts
Shake Milton,Sep 26 1996,Owasso,Oklahoma
Shamorie Ponds,Jun 29 1998,Brooklyn,New York
Shaquille Harrison,Oct 6 1993,Kansas City,Missouri
Solomon Hill,Mar 18 1991,Los Angeles,California
Spencer Dinwiddie,Apr 6 1993,Los Angeles,California
Stanley Johnson,May 29 1996,Los Angeles,California
Stanton Kidd,Mar 18 1992,Baltimore,Maryland
Stephen Curry,Mar 14 1988,Akron,Ohio
Sterling Brown,Feb 10 1995,Maywood,Illinois
T.J. McConnell,Mar 25 1992,Pittsburgh,Pennsylvania
Taj Gibson,Jun 24 1985,Brooklyn,New York
Talen Horton-Tucker,Nov 25 2000,Chicago,Illinois
Tariq Owens,Jun 30 1995,Utica,New York
Taurean Waller-Prince,Mar 22 1994,San Marcos,Texas
Terance Mann,Oct 18 1996,Brooklyn,New York
Terence Davis,May 16 1997,Southaven,Mississippi
Terrance Ferguson,May 17 1998,Tulsa,Oklahoma
Terrence Ross,Feb 5 1991,Portland,Oregon
Terry Rozier,Mar 17 1994,Youngstown,Ohio
Thaddeus Young,Jun 21 1988,New Orleans,Louisiana
Thomas Bryant,Jul 31 1997,Rochester,New York
Tim Frazier,Nov 1 1990,Houston,Texas
Tim Hardaway Jr.,Mar 16 1992,Orinda,California
Tobias Harris,Jul 15 1992,Islip,New York
Tony Bradley,Jan 8 1998,Bartow,Florida
Tony Snell,Nov 10 1991,Los Angeles,California
Torrey Craig,Dec 19 1990,Columbia,South Carolina
Trae Young,Sep 19 1998,Lubbock,Texas
Tremont Waters,Jan 10 1998,New Haven,Connecticut
Treveon Graham,Oct 28 1993,Temple Hills,Maryland
Trevor Ariza,Jun 30 1985,Miami,Florida
Trey Burke,Nov 12 1992,Columbus,Ohio
Troy Brown Jr.,Jul 28 1999,Las Vegas,Nevada
Troy Daniels,Jul 15 1991,Roanoke,Virginia
Ty Jerome,Jul 8 1997,New York,New York
Tyler Cook,Sep 23 1997,St. Louis,Missouri
Tyler Herro,Jan 20 2000,Milwaukee,Wisconsin
Tyler Johnson,May 7 1992,Grand Forks,North Dakota
Tyrone Wallace,Jun 10 1994,Bakersfield,California
Tyson Chandler,Oct 2 1982,Hanford,California
Tyus Jones,May 10 1996,Burnsville,Minnesota
Udonis Haslem,Jun 9 1980,Miami,Florida
Vic Law,Dec 19 1995,South Holland,Illinois
Victor Oladipo,May 4 1992,Silver Spring,Maryland
Vince Carter,Jan 26 1977,Daytona Beach,Florida
Wayne Ellington,Nov 29 1987,Wynnewood,Pennsylvania
Wendell Carter Jr.,Apr 16 1999,Atlanta,Georgia
Wesley Iwundu,Dec 20 1994,Houston,Texas
Wesley Matthews,Oct 14 1986,San Antonio,Texas
Will Barton,Jan 6 1991,Baltimore,Maryland
Willie Cauley-Stein,Aug 18 1993,Spearville,Kansas
Wilson Chandler,May 10 1987,Benton Harbor,Michigan
Yogi Ferrell,May 9 1993,Indianapolis,Indiana
Zach Collins,Nov 19 1997,Las Vegas,Nevada
Zach LaVine,Mar 10 1995,Renton,Washington
Zach Norvell,Dec 9 1997,Chicago,Illinois
Zhaire Smith,Jun 4 1999,Garland,Texas
Zylan Cheatham,Nov 17 1995,Phoenix,Arizona
