Player,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,City,State,2019-20
Amile Jefferson,26,ORL,18,74,8.9,0.37200000000000005,0.0,1.0,14.0,19.5,16.7,7.2,0.7,3.7,13.0,13.5,0.0,0.1,0.0,0.023,-4.9,-1.0,-5.9,-0.1,Philadelphia,Pennsylvania,1445697
Ty Jerome,22,PHO,28,315,8.1,0.43700000000000006,0.44299999999999995,0.132,2.1,12.6,7.2,18.8,2.1,0.8,13.8,17.6,-0.3,0.3,0.0,-0.002,-3.9,0.0,-3.8,-0.1,New York,New York,2193480
Alize Johnson,23,IND,13,54,10.8,0.51,0.0,0.4,14.4,22.3,18.4,5.0,0.0,0.0,14.5,16.8,0.0,0.1,0.1,0.07,-3.2,-1.6,-4.8,0.0,Williamsport,Pennsylvania,1416852
Cameron Johnson,23,PHO,49,996,12.2,0.5760000000000001,0.705,0.142,4.3,11.5,7.8,7.4,1.4,1.4,7.7,16.0,1.1,0.7,1.8,0.086,0.5,-0.7,-0.2,0.5,Moon Township,Pennsylvania,4033440
James Johnson,32,TOT,32,619,14.8,0.5720000000000001,0.423,0.223,4.3,16.3,10.3,18.4,1.9,4.6,16.9,19.4,0.4,0.8,1.2,0.08900000000000001,-1.1,1.1,0.0,0.3,Cheyenne,Wyoming,15349400
Keldon Johnson,20,SAS,9,92,16.6,0.579,0.161,0.32299999999999995,5.8,14.1,10.0,9.4,2.6,1.0,7.8,18.1,0.2,0.1,0.2,0.11900000000000001,-0.3,-0.6,-0.9,0.0,Chesterfield,Virginia,1950600
Stanley Johnson,23,TOR,20,96,3.1,0.342,0.419,0.19399999999999998,3.4,20.5,12.1,11.0,2.0,2.0,19.2,18.6,-0.3,0.2,-0.1,-0.068,-7.9,1.4,-6.5,-0.1,Los Angeles,California,3623000
Tyler Johnson,27,PHO,31,515,8.1,0.48100000000000004,0.485,0.187,2.1,9.3,5.6,13.5,1.1,1.4,11.5,17.3,-0.2,0.3,0.1,0.011000000000000001,-3.0,-0.7,-3.7,-0.2,Grand Forks,North Dakota,19245370
Damian Jones,24,ATL,55,887,15.5,0.7120000000000001,0.051,0.47200000000000003,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,2.2,0.6,2.8,0.152,-1.6,0.1,-1.4,0.1,Baton Rouge,Louisiana,2305057
Derrick Jones Jr.,22,MIA,51,1249,14.8,0.609,0.39,0.35,5.4,13.5,9.6,6.7,2.1,2.9,6.8,14.1,2.3,1.6,3.9,0.15,-0.4,1.1,0.8,0.9,Chester,Pennsylvania,1645357
