Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,City,State,2019-20
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,Avery Bradley,29,LAL,49,44,1186,5.2,11.6,0.444,1.9,5.3,0.364,3.2,6.4,0.51,0.6,0.7,0.833,0.5,2.9,3.5,1.9,1.3,0.2,1.4,3.3,12.8,Tacoma,Washington,4767000
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,Tony Bradley,22,UTA,50,2,535,6.9,10.4,0.665,0.1,0.1,1.0,6.9,10.4,0.662,1.7,2.7,0.65,6.1,8.5,14.5,1.1,0.8,1.7,1.5,6.6,15.7,Bartow,Florida,1962360
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Mikal Bridges,23,PHO,65,24,1772,4.3,8.3,0.516,1.1,3.2,0.35200000000000004,3.1,5.0,0.621,1.8,2.1,0.848,1.2,4.1,5.3,2.3,1.9,0.8,1.3,2.9,11.5,Philadelphia,Pennsylvania,4161000
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,Miles Bridges,21,CHO,65,64,1995,5.8,13.6,0.424,1.8,5.4,0.33,4.0,8.2,0.486,1.9,2.4,0.809,1.6,4.9,6.5,2.1,0.7,0.9,1.7,2.4,15.2,Flint,Michigan,3755400
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,Malcolm Brogdon,27,IND,48,48,1472,7.1,16.1,0.439,1.5,4.8,0.313,5.6,11.3,0.491,3.5,4.0,0.895,1.0,4.5,5.5,8.4,0.8,0.2,2.8,2.2,19.2,Atlanta,Georgia,20000000
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,Bruce Brown,23,DET,58,43,1634,4.4,9.8,0.443,0.7,2.1,0.344,3.6,7.7,0.47,1.9,2.6,0.7390000000000001,1.3,4.7,6.0,5.1,1.4,0.6,2.2,3.6,11.4,Boston,Massachusetts,1416852
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,Jaylen Brown,23,BOS,50,50,1702,8.0,16.3,0.49,2.3,5.9,0.381,5.7,10.4,0.552,3.4,4.6,0.736,1.1,5.6,6.7,2.3,1.2,0.3,2.5,3.2,21.6,Marietta,Georgia,6534829
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,Sterling Brown,24,MIL,45,1,665,4.3,11.8,0.3670000000000001,1.9,6.2,0.316,2.4,5.6,0.423,1.5,1.9,0.7709999999999999,1.5,7.4,8.9,2.5,1.2,0.4,1.9,2.4,12.1,Maywood,Illinois,1618520
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,Troy Brown Jr.,20,WAS,61,14,1519,5.4,12.0,0.453,1.2,3.4,0.345,4.2,8.6,0.496,2.0,2.7,0.754,1.5,6.2,7.7,3.4,1.8,0.1,1.5,2.6,14.1,Las Vegas,Nevada,3219480
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,Jalen Brunson,23,DAL,57,16,1022,6.4,13.7,0.466,1.5,4.2,0.358,4.9,9.4,0.515,2.1,2.6,0.813,0.8,3.9,4.7,6.6,0.8,0.1,2.3,2.6,16.4,New Brunswick,New Jersey,1416582
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,Thomas Bryant,22,WAS,38,28,901,7.4,12.3,0.599,0.9,2.2,0.407,6.5,10.1,0.64,2.8,3.8,0.737,3.0,7.4,10.4,2.8,0.6,1.3,1.9,3.4,18.4,Rochester,New York,7936508
